Номер, Місто, Країна, Регіон, Кл-ть туристів, Середній вік туристів, З родиною чи без, Вартість одного дня, Податки, Прибуток міста
244, Мальме, Швеція, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.5 млрд
245, Манама, Бахрейн, Близький Схід, 2.5 млн, 25-50 років, зазвичай з родиною, $230, 12%, $2.5 млрд
246, Мандалай, М'янма, Азія, 1.5 млн, 25-50 років, зазвичай з родиною, $90, 6%, $0.6 млрд
247, Маніла, Філіппіни, Азія, 6 млн, 25-50 років, зазвичай з родиною, $140, 8%, $3 млрд
248, Манус, Бразилія, Південна Америка, 1.5 млн, 25-50 років, зазвичай з родиною, $120, 8%, $0.8 млрд
249, Манчестер, Великобританія, Європа, 10 млн, 25-50 років, зазвичай з родиною, $250, 10%, $5 млрд
250, Мапуту, Мозамбік, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $130, 8%, $0.8 млрд
251, Маракеш, Марокко, Африка, 6 млн, 25-50 років, зазвичай без родини, $180, 7%, $3 млрд
252, Марсель, Франція, Європа, 3.5 млн, 25-50 років, зазвичай з родиною, $220, 10%, $2.5 млрд
253, Маскат, Оман, Близький Схід, 3 млн, 25-50 років, зазвичай з родиною, $260, 12%, $3 млрд
254, Маямі, США, Північна Америка, 10 млн, 20-50 років, зазвичай без родини, $300, 12%, $7 млрд
255, Медельїн, Колумбія, Південна Америка, 3 млн, 25-50 років, зазвичай без родини, $130, 8%, $1 млрд
256, Медина, Саудівська Аравія, Близький Схід, 7 млн, 25-50 років, зазвичай з родиною, $300, 15%, $6 млрд
257, Мекка, Саудівська Аравія, Близький Схід, 7 млн, 25-50 років, зазвичай з родиною, $300, 15%, $8 млрд
258, Мельбурн, Австралія, Океанія, 8 млн, 25-50 років, зазвичай з родиною, $280, 10%, $5.5 млрд
259, Мехіко, Мексика, Північна Америка, 6 млн, 30-50 років, зазвичай з родиною, $100, 12%, $2 млрд
260, Миколаїв, Україна, Європа, 1 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.1 млрд
261, Мілан, Італія, Європа, 8 млн, 25-45 років, зазвичай без родини, $220, 15%, $4 млрд
262, Мінськ, Білорусь, Європа, 3 млн, 25-50 років, зазвичай з родиною, $150, 15%, $2 млрд
263, Могадішо, Сомалі, Африка, 1 млн, 25-50 років, зазвичай з родиною, $80, 7%, $0.4 млрд
264, Монреаль, Канада, Північна Америка, 4 млн, 25-50 років, зазвичай без родини, $270, 12%, $2 млрд
265, Монровія, Ліберія, Африка, 1 млн, 25-50 років, зазвичай з родиною, $110, 7%, $0.5 млрд
266, Монтевідео, Уругвай, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $150, 8%, $1 млрд
267, Монтего-Бей, Ямайка, Карибський регіон, 2.5 млн, 25-50 років, зазвичай з родиною, $220, 8%, $1.5 млрд
268, Морунга, Мадагаскар, Африка, 0.8 млн, 25-50 років, зазвичай з родиною, $100, 8%, $0.5 млрд
269, Москва, Росія, Європа, 15 млн, 25-50 років, зазвичай з родиною, $280, 15%, $12 млрд
270, Мумбаї, Індія, Азія, 9 млн, 25-50 років, зазвичай без родини, $140, 10%, $3.5 млрд
271, Мускат, Оман, Близький Схід, 2 млн, 25-50 років, зазвичай з родиною, $280, 15%, $2.5 млрд
272, Мюнхен, Німеччина, Європа, 8 млн, 25-50 років, зазвичай з родиною, $260, 10%, $4.5 млрд
273, Найробі, Кенія, Африка, 4 млн, 25-50 років, зазвичай з родиною, $120, 7%, $1.5 млрд
274, Нант, Франція, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $180, 10%, $0.5 млрд
275, Нассау, Багамські Острови, Карибський регіон, 2 млн, 25-50 років, зазвичай з родиною, $300, 10%, $1.8 млрд
276, Находка, Росія, Азія, 200 тис., 25-50 років, зазвичай з родиною, $100, 15%, $0.2 млрд
277, Нджамена, Чад, Африка, 1 млн, 25-50 років, зазвичай з родиною, $90, 7%, $0.4 млрд
278, Неаполь, Італія, Європа, 10 млн, 25-50 років, зазвичай з родиною, $220, 10%, $5 млрд
279, Нижній Новгород, Росія, Європа, 1.3 млн, 25-50 років, зазвичай з родиною, $150, 15%, $1.2 млрд
280, Нижньовартовськ, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $110, 15%, $0.3 млрд
281, Ніамей, Нігер, Африка, 1 млн, 25-50 років, зазвичай з родиною, $90, 7%, $0.4 млрд
282, Нікосія, Кіпр, Європа, 1 млн, 25-50 років, зазвичай з родиною, $170, 10%, $0.3 млрд
283, Ніцца, Франція, Європа, 3 млн, 25-50 років, зазвичай без родини, $220, 20%, $1 млрд
284, Новосибірськ, Росія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $160, 15%, $1.5 млрд
285, Нуакшот, Мавританія, Африка, 1 млн, 25-50 років, зазвичай з родиною, $90, 7%, $0.4 млрд
286, Нурсултан (Астана), Казахстан, Азія, 2 млн, 25-50 років, зазвичай без родини, $140, 10%, $0.9 млрд
287, Нью-Йорк, США, Північна Америка, 35 млн, 20-50 років, зазвичай без родини, $400, 15%, $25 млрд
288, Одеса, Україна, Європа, 2 млн, 20-60 років, зазвичай з родиною, $170, 15%, $1.5 млрд
289, Окленд, Нова Зеландія, Океанія, 1.5 млн, 25-50 років, зазвичай з родиною, $210, 10%, $0.6 млрд
290, Оксфорд, Великобританія, Європа, 2.5 млн, 25-60 років, зазвичай з родиною, $230, 10%, $2.5 млрд
291, Омськ, Росія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $140, 15%, $0.9 млрд
292, Оран, Алжир, Африка, 2 млн, 25-50 років, зазвичай з родиною, $140, 7%, $1 млрд
293, Орел, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $120, 15%, $0.3 млрд
294, Орландо, США, Північна Америка, 6 млн, 20-40 років, зазвичай з родиною, $300, 12%, $5 млрд
295, Осака, Японія, Азія, 12 млн, 18-60 років, зазвичай з родиною, $280, 10%, $18 млрд
296, Осло, Норвегія, Європа, 3 млн, 25-50 років, зазвичай без родини, $240, 18%, $1.2 млрд
297, Острава, Чехія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.2 млрд
298, Остромад, Україна, Європа, 1 млн, 25-50 років, зазвичай з родиною, $100, 10%, $0.1 млрд
299, Оттава, Канада, Північна Америка, 2 млн, 25-50 років, зазвичай з родиною, $220, 10%, $1.5 млрд
300, Охрид, Північна Македонія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.2 млрд
301, Палермо, Італія, Європа, 2 млн, 25-50 років, зазвичай без родини, $160, 15%, $0.9 млрд
302, Панама, Панама, Центральна Америка, 3 млн, 25-50 років, зазвичай з родиною, $180, 8%, $1.3 млрд
303, Парамарибо, Суринам, Південна Америка, 1 млн, 25-50 років, зазвичай з родиною, $120, 7%, $0.5 млрд
304, Париж, Франція, Європа, 38 млн, 25-50 років, зазвичай без родини, $300, 20%, $10 млрд
305, Паттайя, Таїланд, Азія, 6 млн, 25-50 років, зазвичай без родини, $150, 10%, $3 млрд
306, Паттан, Непал, Азія, 1 млн, 25-50 років, зазвичай без родини, $80, 5%, $0.4 млрд
307, Пекін, Китай, Азія, 20 млн, 25-50 років, зазвичай з родиною, $300, 10%, $15 млрд
308, Перт, Австралія, Океанія, 2 млн, 25-50 років, зазвичай з родиною, $230, 10%, $1.2 млрд
309, Петра, Йорданія, Близький Схід, 1 млн, 25-50 років, зазвичай без родини, $180, 10%, $1 млрд
310, Петрозаводськ, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $120, 15%, $0.4 млрд
311, Піза, Італія, Європа, 2 млн, 25-50 років, зазвичай з родиною, $180, 10%, $0.5 млрд
312, Плзень, Чехія, Європа, 0.5 млн, 25-50 років, зазвичай з родиною, $90, 10%, $0.2 млрд
313, Пномпень, Камбоджа, Азія, 2 млн, 25-50 років, зазвичай з родиною, $90, 6%, $0.6 млрд
314, Подгориця, Чорногорія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.8 млрд
315, Познань, Польща, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.3 млрд
316, Портленд, США, Північна Америка, 5 млн, 25-50 років, зазвичай з родиною, $260, 10%, $4 млрд
317, Порт-Луї, Маврикій, Африка, 1 млн, 25-50 років, зазвичай без родини, $180, 10%, $0.9 млрд
318, Порто, Португалія, Європа, 2 млн, 25-50 років, зазвичай з родиною, $180, 10%, $0.5 млрд
319, Порт-оф-Спейн, Тринідад і Тобаго, Карибський регіон, 1.5 млн, 25-50 років, зазвичай з родиною, $230, 10%, $0.9 млрд
320, Порт-Харкорт, Нігерія, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $150, 7%, $1 млрд
321, Прага, Чехія, Європа, 10 млн, 25-50 років, зазвичай з родиною, $200, 10%, $4 млрд
322, Преторія, ПАР, Африка, 2 млн, 25-50 років, зазвичай з родиною, $170, 10%, $1.5 млрд
323, Приштина, Косово, Європа, 0.5 млн, 25-50 років, зазвичай з родиною, $80, 15%, $0.2 млрд
324, Пуерто-Вальярта, Мексика, Північна Америка, 2 млн, 20-40 років, зазвичай з родиною, $200, 10%, $1 млрд
325, Пуерто-Плата, Домініканська Республіка, Карибський регіон, 2 млн, 25-50 років, зазвичай з родиною, $150, 7%, $1 млрд
326, Пхеньян, Північна Корея, Азія, 1 млн, 25-50 років, зазвичай без родини, $200, 5%, $0.7 млрд
327, Пхукет, Таїланд, Азія, 8 млн, 20-40 років, зазвичай з родиною, $150, 8%, $3 млрд
328, Рабат, Марокко, Африка, 3 млн, 25-50 років, зазвичай з родиною, $160, 7%, $1.8 млрд
329, Рейк'явік, Ісландія, Європа, 2 млн, 25-50 років, зазвичай без родини, $350, 20%, $1.2 млрд
330, Ресіфе, Бразилія, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $130, 8%, $1 млрд
331, Рига, Латвія, Європа, 2 млн, 25-50 років, зазвичай з родиною, $130, 10%, $0.6 млрд
332, Рим, Італія, Європа, 10 млн, 25-60 років, зазвичай без родини, $180, 15%, $5 млрд
333, Рієка, Хорватія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.2 млрд
334, Ріо-де-Жанейро, Бразилія, Південна Америка, 7 млн, 25-50 років, зазвичай без родини, $160, 10%, $3 млрд
335, Ріяд, Саудівська Аравія, Близький Схід, 4 млн, 25-50 років, зазвичай з родиною, $270, 15%, $4 млрд
336, Родос, Греція, Європа, 1 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.3 млрд
337, Ростов-на-Дону, Росія, Європа, 1.1 млн, 25-50 років, зазвичай з родиною, $140, 15%, $0.9 млрд
338, Роттердам, Нідерланди, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $180, 10%, $0.5 млрд
339, Рязань, Росія, Європа, 500 тис., 25-50 років, зазвичай з родиною, $130, 15%, $0.5 млрд
340, Ряшів, Польща, Європа, 1 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.2 млрд
341, Салоніки, Греція, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $190, 10%, $0.4 млрд
342, Сальвадор, Бразилія, Південна Америка, 3 млн, 25-50 років, зазвичай з родиною, $140, 8%, $1.5 млрд
343, Самара, Росія, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $140, 15%, $1 млрд
344, Самарканд, Узбекистан, Азія, 2 млн, 25-50 років, зазвичай без родини, $120, 10%, $0.8 млрд
345, Сана, Ємен, Близький Схід, 1 млн, 25-50 років, зазвичай з родиною, $90, 6%, $0.5 млрд
346, Сан-Дієго, США, Північна Америка, 15 млн, 25-50 років, зазвичай з родиною, $280, 10%, $9 млрд
347, Санкт-Галлен, Швейцарія, Європа, 0.3 млн, 25-50 років, зазвичай з родиною, $200, 10%, $0.2 млрд
348, Санкт-Петербург, Росія, Європа, 8 млн, 25-50 років, зазвичай з родиною, $260, 15%, $6 млрд
349, Сан-Паулу, Бразилія, Південна Америка, 5 млн, 25-50 років, зазвичай з родиною, $160, 10%, $3 млрд
350, Сан-Сальвадор, Сальвадор, Центральна Америка, 1.5 млн, 25-50 років, зазвичай з родиною, $100, 5%, $0.7 млрд
351, Санта-Круз, Болівія, Південна Америка, 3 млн, 25-50 років, зазвичай з родиною, $130, 10%, $0.4 млрд
352, Санто-Домінго, Домініканська Республіка, Карибський регіон, 3 млн, 25-50 років, зазвичай з родиною, $160, 7%, $1.5 млрд
353, Сантьяго, Чилі, Південна Америка, 7 млн, 25-50 років, зазвичай з родиною, $200, 10%, $3.5 млрд
354, Сан-Франциско, США, Північна Америка, 25 млн, 25-50 років, зазвичай з родиною, $320, 10%, $15 млрд
355, Сан-Хосе, США, Північна Америка, 3 млн, 25-50 років, зазвичай з родиною, $200, 10%, $2 млрд
356, Сан-Хуан, Пуерто-Рико, Карибський регіон, 3 млн, 25-50 років, зазвичай з родиною, $240, 10%, $2 млрд
357, Саппоро, Японія, Азія, 2.5 млн, 25-50 років, зазвичай без родини, $190, 10%, $1.5 млрд
358, Сараєво, Боснія і Герцеговина, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $160, 10%, $1 млрд
359, Саранськ, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $110, 15%, $0.3 млрд
360, Саратов, Росія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $130, 15%, $0.8 млрд
361, Саров, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $120, 15%, $0.3 млрд
362, Сассуоло, Італія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $180, 10%, $0.4 млрд
363, Сахалін, Росія, Азія, 300 тис., 25-50 років, зазвичай з родиною, $130, 15%, $0.3 млрд
364, Светлогорськ, Росія, Європа, 150 тис., 25-50 років, зазвичай з родиною, $90, 15%, $0.1 млрд
365, Себу, Філіппіни, Азія, 4 млн, 25-50 років, зазвичай з родиною, $130, 8%, $2 млрд
366, Севілья, Іспанія, Європа, 4 млн, 25-50 років, зазвичай без родини, $180, 12%, $1.5 млрд
367, Сент-Дені, Реюньйон, Африка, 0.9 млн, 25-50 років, зазвичай без родини, $170, 10%, $0.8 млрд
368, Сент-Етьєн, Франція, Європа, 1 млн, 25-50 років, зазвичай з родиною, $140, 10%, $0.3 млрд
369, Сеул, Південна Корея, Азія, 10 млн, 25-50 років, зазвичай з родиною, $260, 10%, $12 млрд
370, Сиктивкар, Росія, Європа, 200 тис., 25-50 років, зазвичай з родиною, $100, 15%, $0.2 млрд
371, Сіань, Китай, Азія, 4 млн, 25-50 років, зазвичай з родиною, $150, 8%, $2 млрд
372, Сідней, Австралія, Океанія, 15 млн, 25-50 років, зазвичай з родиною, $300, 10%, $6 млрд
373, Сієна, Італія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $160, 10%, $0.3 млрд
374, Сінгапур, Сінгапур, Азія, 18 млн, 25-45 років, зазвичай без родини, $220, 7%, $6 млрд
375, Скоп'є, Північна Македонія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $140, 10%, $0.7 млрд
376, Солна, Швеція, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $140, 10%, $0.4 млрд
377, Сопот, Польща, Європа, 1 млн, 25-50 років, зазвичай з родиною, $170, 10%, $0.2 млрд
378, Софія, Болгарія, Європа, 3 млн, 25-50 років, зазвичай з родиною, $150, 10%, $0.4 млрд
379, Сочі, Росія, Європа, 5 млн, 25-50 років, зазвичай з родиною, $150, 10%, $1.5 млрд
380, Спліт, Хорватія, Європа, 3 млн, 25-50 років, зазвичай з родиною, $180, 10%, $0.6 млрд
381, Стамбул, Туреччина, Європа/Азія, 20 млн, 25-50 років, зазвичай з родиною, $220, 10%, $10 млрд
382, Старий Оскол, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $110, 15%, $0.3 млрд
383, Стокгольм, Швеція, Європа, 8 млн, 25-50 років, зазвичай з родиною, $300, 10%, $6 млрд
384, Сукре, Болівія, Південна Америка, 1.5 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.6 млрд
385, Сурабая, Індонезія, Азія, 2 млн, 25-50 років, зазвичай з родиною, $130, 8%, $1.5 млрд
386, Суравакар, Індія, Азія, 9 млн, 25-50 років, зазвичай з родиною, $120, 15%, $2 млрд
387, Сфакс, Туніс, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $140, 7%, $0.9 млрд
388, Тайбей, Тайвань, Азія, 6 млн, 25-50 років, зазвичай без родини, $160, 8%, $2.5 млрд
389, Таллінн, Естонія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $140, 10%, $0.4 млрд
390, Танжер, Марокко, Африка, 2.5 млн, 25-50 років, зазвичай з родиною, $160, 7%, $1.5 млрд
391, Тарту, Естонія, Європа, 0.3 млн, 25-50 років, зазвичай з родиною, $100, 10%, $0.1 млрд
392, Ташкент, Узбекистан, Азія, 2 млн, 25-50 років, зазвичай без родини, $110, 10%, $0.7 млрд
393, Тбілісі, Грузія, Європа, 4 млн, 25-50 років, зазвичай з родиною, $150, 10%, $1.8 млрд
394, Твер, Росія, Європа, 400 тис., 25-50 років, зазвичай з родиною, $120, 15%, $0.4 млрд
395, Тегеран, Іран, Близький Схід, 4 млн, 25-50 років, зазвичай з родиною, $120, 8%, $1.5 млрд
396, Тегусігальпа, Гондурас, Центральна Америка, 2 млн, 25-50 років, зазвичай з родиною, $90, 5%, $0.6 млрд
397, Тель-Авів, Ізраїль, Близький Схід, 3 млн, 25-45 років, зазвичай без родини, $250, 15%, $1.5 млрд
398, Тирана, Албанія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $80, 15%, $0.5 млрд
399, Токіо, Японія, Азія, 12 млн, 25-50 років, зазвичай без родини, $250, 10%, $8 млрд
400, Торонто, Канада, Північна Америка, 5 млн, 25-45 років, зазвичай без родини, $250, 13%, $2 млрд
401, Торунь, Польща, Європа, 1 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.2 млрд
402, Триполі, Лівія, Африка, 1 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.6 млрд
403, Трівандрум, Індія, Азія, 1.5 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.6 млрд
404, Трієст, Італія, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $170, 10%, $0.3 млрд
405, Тріполі, Ліван, Близький Схід, 1 млн, 25-50 років, зазвичай з родиною, $160, 10%, $0.8 млрд
406, Тріполі, Лівія, Африка, 2 млн, 25-50 років, зазвичай з родиною, $150, 7%, $1.2 млрд
407, Трір, Німеччина, Європа, 0.5 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.2 млрд
408, Тула, Росія, Європа, 500 тис., 25-50 років, зазвичай з родиною, $120, 15%, $0.5 млрд
409, Тулуз, Франція, Європа, 2 млн, 25-50 років, зазвичай з родиною, $180, 10%, $1.5 млрд
410, Туніс, Туніс, Африка, 2 млн, 25-50 років, зазвичай з родиною, $140, 7%, $0.9 млрд
411, Турин, Італія, Європа, 3 млн, 25-50 років, зазвичай з родиною, $220, 10%, $1.5 млрд
412, Тюмень, Росія, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.3 млрд
413, Уагадугу, Буркіна-Фасо, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $120, 7%, $0.6 млрд
414, Улан-Батор, Монголія, Азія, 1 млн, 25-50 років, зазвичай без родини, $100, 6%, $0.5 млрд
415, Улан-Уде, Росія, Азія, 400 тис., 25-50 років, зазвичай з родиною, $130, 15%, $0.5 млрд
416, Утрехт, Нідерланди, Європа, 1.2 млн, 25-50 років, зазвичай з родиною, $160, 10%, $0.3 млрд
417, Уфа, Росія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $130, 15%, $0.9 млрд
418, Ухань, Китай, Азія, 4 млн, 25-50 років, зазвичай з родиною, $150, 8%, $2 млрд
419, Фенікс, США, Північна Америка, 4 млн, 25-50 років, зазвичай з родиною, $200, 10%, $2.5 млрд
420, Філадельфія, США, Північна Америка, 10 млн, 25-50 років, зазвичай з родиною, $250, 10%, $6 млрд
421, Флоренція, Італія, Європа, 5 млн, 25-50 років, зазвичай з родиною, $230, 10%, $2.5 млрд
422, Форталеза, Бразилія, Південна Америка, 2 млн, 25-50 років, зазвичай з родиною, $130, 8%, $1 млрд
423, Фрайбург, Німеччина, Європа, 1 млн, 25-50 років, зазвичай з родиною, $160, 10%, $0.5 млрд
424, Франкфурт, Німеччина, Європа, 10 млн, 25-50 років, зазвичай з родиною, $240, 10%, $5 млрд
425, Фрітаун, Сьєрра-Леоне, Африка, 1 млн, 25-50 років, зазвичай з родиною, $120, 7%, $0.6 млрд
426, Фукуока, Японія, Азія, 3 млн, 25-50 років, зазвичай без родини, $170, 10%, $1 млрд
427, Хабаровськ, Росія, Азія, 600 тис., 25-50 років, зазвичай з родиною, $140, 15%, $0.7 млрд
428, Хайфа, Ізраїль, Близький Схід, 1.5 млн, 25-50 років, зазвичай з родиною, $240, 15%, $1.5 млрд
429, Ханой, В'єтнам, Азія, 6 млн, 20-45 років, зазвичай з родиною, $90, 5%, $2 млрд
430, Ханья, Греція, Європа, 1 млн, 25-50 років, зазвичай з родиною, $180, 10%, $0.3 млрд
431, Хараре, Зімбабве, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $140, 8%, $0.9 млрд
432, Харків, Україна, Європа, 1.5 млн, 25-50 років, зазвичай з родиною, $120, 10%, $0.2 млрд
433, Хартум, Судан, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $100, 7%, $0.6 млрд
434, Херсон, Україна, Європа, 1 млн, 25-50 років, зазвичай з родиною, $110, 10%, $0.2 млрд
435, Хіросіма, Японія, Азія, 3 млн, 25-50 років, зазвичай без родини, $200, 10%, $2 млрд
436, Хомс, Сирія, Близький Схід, 0.8 млн, 25-50 років, зазвичай з родиною, $140, 10%, $0.4 млрд
437, Хошимін, В'єтнам, Азія, 7 млн, 25-45 років, зазвичай з родиною, $110, 7%, $2.5 млрд
438, Хургада, Єгипет, Африка, 6 млн, 25-50 років, зазвичай з родиною, $170, 10%, $3 млрд
439, Цюріх, Швейцарія, Європа, 3 млн, 25-50 років, зазвичай з родиною, $350, 10%, $2 млрд
440, Чебоксари, Росія, Європа, 300 тис., 25-50 років, зазвичай з родиною, $110, 15%, $0.3 млрд
441, Чеджу, Південна Корея, Азія, 3 млн, 25-50 років, зазвичай без родини, $180, 10%, $1.5 млрд
442, Челябинськ, Росія, Європа, 1 млн, 25-50 років, зазвичай з родиною, $130, 15%, $0.8 млрд
443, Ченду, Китай, Азія, 5 млн, 25-50 років, зазвичай з родиною, $140, 8%, $2.5 млрд
444, Ченнаї, Індія, Азія, 4 млн, 25-50 років, зазвичай з родиною, $120, 7%, $1.5 млрд
445, Чикаго, США, Північна Америка, 50 млн, 25-50 років, зазвичай з родиною, $300, 10%, $20 млрд
446, Читтагонг, Бангладеш, Азія, 1.5 млн, 25-50 років, зазвичай з родиною, $90, 7%, $0.6 млрд
447, Чіангмай, Таїланд, Азія, 2 млн, 25-50 років, зазвичай без родини, $120, 10%, $1 млрд
448, Чорногорія, Подгорица, Європа, 0.5 млн, 25-50 років, зазвичай з родиною, $90, 15%, $0.2 млрд
449, Шанхай, Китай, Азія, 10 млн, 25-45 років, зазвичай без родини, $200, 10%, $5 млрд
450, Шарджа, ОАЕ, Близький Схід, 2 млн, 25-50 років, зазвичай з родиною, $280, 15%, $2.5 млрд
451, Шарм-ель-Шейх, Єгипет, Африка, 5 млн, 25-50 років, зазвичай з родиною, $190, 10%, $3.5 млрд
452, Шираз, Іран, Близький Схід, 2 млн, 25-50 років, зазвичай з родиною, $100, 8%, $1 млрд
453, Штутгарт, Німеччина, Європа, 3 млн, 25-50 років, зазвичай з родиною, $220, 10%, $1.8 млрд
454, Янгон, М'янма, Азія, 2 млн, 25-50 років, зазвичай з родиною, $100, 6%, $0.9 млрд
455, Яунде, Камерун, Африка, 1.5 млн, 25-50 років, зазвичай з родиною, $110, 7%, $0.7 млрд
